#steps	current_bs	data	loss	accuracy
101	64	6464	0.4620	41.24
202	64	12928	0.3938	61.30
303	64	19392	0.3324	73.93
404	64	25856	0.2819	81.87
505	64	32320	0.2422	86.84
606	64	38784	0.2149	89.90
707	64	45248	0.1914	92.05
808	64	51712	0.1711	93.43
909	64	58176	0.1542	94.42
1010	64	64640	0.1393	95.25
1111	64	71104	0.1303	95.72
1212	64	77568	0.1237	96.08
1313	64	84032	0.1175	96.35
1414	64	90496	0.1145	96.44
1515	64	96960	0.1112	96.55
1616	64	103424	0.1090	96.58
1717	64	109888	0.1052	96.70
1818	64	116352	0.1005	96.88
1919	64	122816	0.0990	96.94
2020	64	129280	0.0943	97.08
2121	64	135744	0.0929	97.14
2222	64	142208	0.0918	97.21
2323	64	148672	0.0886	97.25
2424	64	155136	0.0907	97.14
2525	64	161600	0.0879	97.27
2626	64	168064	0.0883	97.33
2727	64	174528	0.0863	97.31
2828	64	180992	0.0847	97.38
2929	64	187456	0.0826	97.43
3030	64	193920	0.0823	97.41
3131	64	200384	0.0792	97.53
3232	64	206848	0.0788	97.54
3333	64	213312	0.0806	97.54
3434	64	219776	0.0789	97.61
3535	64	226240	0.0780	97.66
3636	64	232704	0.0766	97.66
3737	64	239168	0.0768	97.67
3838	64	245632	0.0765	97.69
3939	64	252096	0.0759	97.69
4040	64	258560	0.0743	97.74
4141	64	265024	0.0719	97.82
4242	64	271488	0.0705	97.86
4343	64	277952	0.0703	97.89
4444	64	284416	0.0696	97.94
4545	64	290880	0.0730	97.80
4646	64	297344	0.0734	97.77
4747	64	303808	0.0706	97.82
4848	64	310272	0.0703	97.81
4949	64	316736	0.0701	97.86
5050	64	323200	0.0688	97.90
5151	64	329664	0.0669	97.98
5252	64	336128	0.0674	97.95
5353	64	342592	0.0687	97.94
5454	64	349056	0.0661	98.01
