#steps	current_bs	data	loss	accuracy
101	32	3232	0.4981	39.63
202	32	6464	0.4248	59.91
303	32	9696	0.3804	72.09
404	32	12928	0.3326	79.88
505	32	16160	0.2956	84.93
606	33	19493	0.2528	88.69
707	34	22927	0.2239	91.03
808	34	26361	0.2013	92.57
909	35	29896	0.1838	93.52
1010	36	33532	0.1716	94.19
1111	37	37269	0.1578	94.77
1212	37	41006	0.1453	95.27
1313	38	44844	0.1363	95.64
1414	38	48682	0.1301	95.84
1515	38	52520	0.1246	96.13
1616	39	56459	0.1203	96.27
1717	39	60398	0.1144	96.51
1818	39	64337	0.1121	96.55
1919	40	68377	0.1105	96.61
2020	40	72417	0.1047	96.79
2121	41	76558	0.1015	96.86
2222	42	80800	0.1018	96.86
2323	43	85143	0.0991	96.99
2424	43	89486	0.0974	97.01
2525	43	93829	0.0971	97.00
2626	44	98273	0.0978	97.02
2727	44	102717	0.0972	97.05
2828	45	107262	0.0921	97.20
2929	46	111908	0.0897	97.24
3030	46	116554	0.0867	97.30
3131	47	121301	0.0853	97.37
3232	47	126048	0.0852	97.38
3333	48	130896	0.0818	97.49
3434	48	135744	0.0847	97.40
3535	48	140592	0.0820	97.53
3636	48	145440	0.0834	97.49
3737	49	150389	0.0822	97.53
3838	49	155338	0.0801	97.60
3939	50	160388	0.0799	97.61
4040	50	165438	0.0783	97.66
4141	51	170589	0.0759	97.76
4242	51	175740	0.0751	97.81
4343	51	180891	0.0733	97.82
4444	52	186143	0.0719	97.87
4545	52	191395	0.0715	97.85
4646	53	196748	0.0711	97.90
4747	53	202101	0.0724	97.86
4848	55	207656	0.0723	97.89
4949	55	213211	0.0727	97.88
5050	56	218867	0.0711	97.93
5151	57	224624	0.0692	97.97
5252	57	230381	0.0696	97.95
5353	57	236138	0.0694	97.94
5454	58	241996	0.0682	98.00
5555	58	247854	0.0668	98.04
