#steps	current_bs	data	loss	accuracy
101	32	3232	0.4981	39.63
202	32	6464	0.4248	59.91
303	32	9696	0.3804	72.09
404	35	13231	0.3160	80.68
505	35	16766	0.2711	85.82
606	41	20907	0.2342	89.31
707	41	25048	0.2088	91.47
808	44	29492	0.1913	92.77
909	44	33936	0.1770	93.65
1010	45	38481	0.1622	94.44
1111	45	43026	0.1517	94.92
1212	45	47571	0.1433	95.25
1313	45	52116	0.1326	95.67
1414	45	56661	0.1223	96.09
1515	48	61509	0.1149	96.42
1616	48	66357	0.1117	96.51
1717	53	71710	0.1084	96.58
1818	53	77063	0.1083	96.65
1919	70	84133	0.1032	96.82
2020	70	91203	0.0952	97.03
2121	70	98273	0.0912	97.14
2222	80	106353	0.0886	97.27
2323	80	114433	0.0848	97.42
2424	80	122513	0.0827	97.46
2525	81	130694	0.0822	97.48
2626	84	139178	0.0816	97.48
2727	84	147662	0.0800	97.56
2828	100	157762	0.0770	97.63
2929	103	168165	0.0761	97.66
3030	114	179679	0.0744	97.70
3131	114	191193	0.0723	97.75
3232	126	203919	0.0704	97.77
3333	126	216645	0.0698	97.81
3434	131	229876	0.0687	97.89
3535	131	243107	0.0684	97.91
3636	131	256338	0.0678	97.92
3737	146	271084	0.0667	97.98
3838	146	285830	0.0667	97.98
3939	146	300576	0.0658	98.03
