#steps	current_bs	data	loss	accuracy
101	80	8080	0.4556	41.38
202	80	16160	0.3888	61.50
303	80	24240	0.3316	73.94
404	80	32320	0.2809	81.93
505	80	40400	0.2394	86.95
606	80	48480	0.2069	90.17
707	84	56964	0.1896	92.18
808	84	65448	0.1682	93.64
909	84	73932	0.1522	94.64
1010	84	82416	0.1381	95.34
1111	95	92011	0.1275	95.79
1212	95	101606	0.1185	96.14
1313	115	113221	0.1123	96.38
1414	115	124836	0.1046	96.68
1515	115	136451	0.0995	96.87
1616	117	148268	0.0946	97.08
1717	118	160186	0.0917	97.18
1818	124	172710	0.0877	97.31
1919	124	185234	0.0854	97.40
2020	124	197758	0.0857	97.31
2121	130	210888	0.0838	97.38
2222	130	224018	0.0809	97.48
2323	130	237148	0.0788	97.57
2424	140	251288	0.0778	97.59
2525	140	265428	0.0772	97.62
2626	140	279568	0.0753	97.64
2727	140	293708	0.0738	97.69
2828	140	307848	0.0733	97.72
2929	157	323705	0.0717	97.83
3030	157	339562	0.0713	97.83
3131	181	357843	0.0692	97.89
3232	181	376124	0.0683	97.88
3333	193	395617	0.0678	97.88
3434	201	415918	0.0669	97.93
3535	201	436219	0.0659	97.98
3636	216	458035	0.0657	98.01
