#steps	current_bs	data	loss	accuracy
101	128	12928	0.4382	41.96
202	128	25856	0.3890	61.65
303	128	38784	0.3524	73.55
404	128	51712	0.3319	80.70
505	128	64640	0.3171	85.09
606	128	77568	0.3105	87.55
707	128	90496	0.2999	89.29
808	128	103424	0.3003	90.13
909	128	116352	0.2971	90.79
1010	128	129280	0.2965	91.07
1111	128	142208	0.2969	91.29
1212	128	155136	0.2962	91.50
1313	128	168064	0.2941	91.58
1414	128	180992	0.2923	91.63
1515	128	193920	0.2933	91.62
1616	128	206848	0.2890	91.78
1717	128	219776	0.2860	91.88
1818	128	232704	0.2863	91.84
1919	128	245632	0.2863	92.00
