#steps	current_bs	data	loss	accuracy
101	64	6464	0.4745	25.76
202	64	12928	0.4479	38.60
303	64	19392	0.4227	49.03
404	71	26563	0.4011	57.36
505	73	33936	0.3831	64.06
606	75	41511	0.3697	69.39
707	81	49692	0.3568	73.73
808	81	57873	0.3450	77.28
909	95	67468	0.3371	80.05
1010	95	77063	0.3291	82.37
1111	95	86658	0.3220	84.24
1212	104	97162	0.3144	85.80
1313	104	107666	0.3124	86.94
1414	115	119281	0.3102	87.84
1515	115	130896	0.3064	88.65
1616	124	143420	0.3019	89.33
1717	125	156045	0.2985	89.85
1818	127	168872	0.2965	90.24
1919	135	182507	0.2964	90.55
2020	153	197960	0.2940	90.87
2121	153	213413	0.2918	91.12
2222	166	230179	0.2890	91.34
2323	166	246945	0.2877	91.43
2424	175	264620	0.2849	91.59
2525	190	283810	0.2835	91.70
2626	190	303000	0.2820	91.82
2727	202	323402	0.2803	91.90
2828	221	345723	0.2786	92.00
