#steps	current_bs	data	loss	accuracy
101	128	12928	0.4691	25.98
202	128	25856	0.4383	39.02
303	139	39895	0.4099	49.51
404	139	53934	0.3868	57.93
505	141	68175	0.3684	64.70
606	143	82618	0.3540	70.06
707	154	98172	0.3407	74.39
808	154	113726	0.3305	77.93
909	156	129482	0.3220	80.68
1010	165	146147	0.3152	82.92
1111	165	162812	0.3087	84.79
1212	167	179679	0.3033	86.27
1313	168	196647	0.2992	87.39
1414	168	213615	0.2961	88.33
1515	179	231694	0.2929	89.11
1616	215	253409	0.2903	89.71
1717	215	275124	0.2871	90.21
1818	249	300273	0.2845	90.63
1919	249	325422	0.2842	90.94
2020	254	351076	0.2822	91.23
2121	254	376730	0.2811	91.48
2222	254	402384	0.2793	91.67
2323	262	428846	0.2774	91.80
2424	262	455308	0.2773	91.89
2525	292	484800	0.2759	91.97
2626	292	514292	0.2751	92.07
