#steps	current_bs	data	loss	accuracy
101	32	3232	0.5024	24.73
202	32	6464	0.4863	37.23
303	32	9696	0.4572	47.84
404	36	13332	0.4356	56.31
505	36	16968	0.4193	63.01
606	36	20604	0.4106	68.31
707	41	24745	0.4012	72.50
808	51	29896	0.3876	76.10
909	51	35047	0.3751	79.03
1010	58	40905	0.3649	81.46
1111	58	46763	0.3536	83.41
1212	62	53025	0.3493	84.75
1313	62	59287	0.3436	85.96
1414	69	66256	0.3332	87.10
1515	80	74336	0.3287	87.93
1616	80	82416	0.3239	88.61
1717	83	90799	0.3180	89.24
1818	96	100495	0.3123	89.79
1919	96	110191	0.3087	90.19
2020	96	119887	0.3066	90.45
2121	114	131401	0.3015	90.81
2222	114	142915	0.2995	91.05
2323	114	154429	0.2976	91.20
2424	116	166145	0.2949	91.36
2525	117	177962	0.2926	91.51
2626	118	189880	0.2914	91.59
2727	120	202000	0.2889	91.72
2828	120	214120	0.2872	91.80
2929	136	227856	0.2859	91.87
3030	153	243309	0.2844	91.97
3131	153	258762	0.2842	91.97
3232	178	276740	0.2818	92.02
