#steps	current_bs	data	loss	accuracy
101	128	12928	0.4691	25.98
202	128	25856	0.4383	39.02
303	128	38784	0.4101	49.49
404	128	51712	0.3883	57.88
505	137	65549	0.3689	64.66
606	137	79386	0.3541	70.07
707	137	93223	0.3407	74.43
808	138	107161	0.3303	77.90
909	145	121806	0.3220	80.73
1010	147	136653	0.3158	82.94
1111	147	151500	0.3080	84.80
1212	157	167357	0.3028	86.25
1313	157	183214	0.2981	87.39
1414	157	199071	0.2949	88.34
1515	162	215433	0.2928	89.07
1616	162	231795	0.2903	89.69
1717	171	249066	0.2880	90.19
1818	171	266337	0.2865	90.54
1919	171	283608	0.2850	90.87
2020	177	301485	0.2842	91.17
2121	179	319564	0.2832	91.38
2222	183	338047	0.2817	91.56
2323	183	356530	0.2811	91.70
2424	184	375114	0.2812	91.81
2525	191	394405	0.2800	91.88
2626	191	413696	0.2793	91.97
2727	193	433189	0.2780	92.05
