#steps	current_bs	data	loss	accuracy
101	64	6464	0.4745	25.76
202	64	12928	0.4479	38.60
303	64	19392	0.4227	49.03
404	65	25957	0.4032	57.33
505	65	32522	0.3862	64.02
606	65	39087	0.3719	69.37
707	67	45854	0.3606	73.69
808	67	52621	0.3516	77.07
909	68	59489	0.3433	79.87
1010	69	66458	0.3370	82.10
1111	70	73528	0.3299	84.02
1212	70	80598	0.3243	85.51
1313	71	87769	0.3218	86.64
1414	71	94940	0.3162	87.62
1515	72	102212	0.3121	88.48
1616	72	109484	0.3085	89.14
1717	74	116958	0.3076	89.63
1818	74	124432	0.3063	90.00
1919	74	131906	0.3043	90.36
2020	75	139481	0.3041	90.54
2121	76	147157	0.3041	90.67
2222	76	154833	0.3012	90.91
2323	76	162509	0.3005	91.12
2424	78	170387	0.2997	91.23
2525	78	178265	0.2971	91.39
2626	79	186244	0.2958	91.49
2727	79	194223	0.2946	91.52
2828	79	202202	0.2930	91.55
2929	80	210282	0.2907	91.65
3030	80	218362	0.2922	91.67
3131	82	226644	0.2911	91.76
3232	82	234926	0.2913	91.77
3333	83	243309	0.2918	91.75
3434	83	251692	0.2900	91.86
3535	83	260075	0.2922	91.76
3636	87	268862	0.2905	91.80
3737	87	277649	0.2914	91.75
3838	88	286537	0.2914	91.79
3939	88	295425	0.2918	91.82
4040	88	304313	0.2913	91.81
4141	88	313201	0.2896	91.84
4242	90	322291	0.2885	91.90
4343	92	331583	0.2878	91.91
4444	92	340875	0.2881	91.91
4545	92	350167	0.2882	91.96
4646	93	359560	0.2876	92.03
